iter	Logloss
0	0.4794705392
1	0.3484162703
2	0.2687745746
3	0.2198124141
4	0.1892595147
5	0.1696693862
6	0.1571379229
7	0.1488532865
8	0.1433179395
9	0.1385440909
10	0.1346345195
11	0.1322870173
12	0.1307657335
13	0.1295359565
14	0.128673436
15	0.1279219096
16	0.1275378461
17	0.1273900781
18	0.1271043334
19	0.1268374922
20	0.1266659198
21	0.1264963021
22	0.1263756816
23	0.1262769499
24	0.1261767911
25	0.1261029661
26	0.1260283136
27	0.125970105
28	0.125910734
29	0.1258267366
30	0.1257656528
31	0.1257023685
32	0.1256454071
33	0.1256176514
34	0.1255934581
35	0.1255508652
36	0.1255222849
37	0.1254881376
38	0.1254478889
39	0.1254073146
40	0.1253747482
41	0.1253357853
42	0.1253044849
43	0.1252713141
44	0.1252426414
45	0.1251980611
46	0.1251667463
47	0.125154944
48	0.1251332672
49	0.1251212258
50	0.1251116859
51	0.125070666
52	0.1250515566
53	0.1250365566
54	0.1250169147
55	0.124998458
56	0.1249849581
57	0.1249762011
58	0.1249589711
59	0.1249586574
60	0.1249284313
61	0.124919329
62	0.1249183055
63	0.1249051479
64	0.1249013531
65	0.1248933603
66	0.1248901682
67	0.1248798299
68	0.1248722039
69	0.1248278173
70	0.124808199
71	0.1248031575
72	0.1247824453
73	0.1247801247
74	0.1247746466
75	0.1247615785
76	0.1247396664
77	0.1247351095
78	0.124730475
79	0.1246985282
80	0.1246934787
81	0.124677461
82	0.1246729258
83	0.1246583674
84	0.1246386846
85	0.1246331557
86	0.1246301474
87	0.1246284292
88	0.1246233111
89	0.1246140951
90	0.1246097974
91	0.1245963298
92	0.1245887957
93	0.1245860057
94	0.1245666507
95	0.1245527505
96	0.124542666
97	0.1245400689
98	0.1245311885
99	0.1245177113
100	0.1245147345
101	0.1245098519
102	0.1245010965
103	0.1244982971
104	0.1244963508
105	0.1244940422
106	0.1244864714
107	0.1244846845
108	0.124479167
109	0.1244615734
110	0.1244602073
111	0.1244589862
112	0.1244551946
