iter	Passed	Remaining
0	428	85208
1	955	94595
2	1357	89145
3	1964	96274
4	2415	94203
5	2895	93629
6	3061	84409
7	3423	82171
8	3937	83569
9	4561	86660
10	5647	97038
11	6391	100132
12	7290	104871
13	8031	106706
14	8978	110729
15	9838	113140
16	10742	115635
17	10907	110283
18	11881	113187
19	13022	117201
20	13724	116986
21	14772	119520
22	15952	122764
23	17112	125489
24	17616	123317
25	18722	125297
26	19500	124948
27	20526	126093
28	21566	127170
29	22393	126898
30	23353	127315
31	24248	127306
32	25345	128262
33	26388	128840
34	27126	127883
35	28319	129010
36	29203	128651
37	30348	129378
38	31301	129217
39	32434	129739
40	33404	129545
41	34485	129729
42	35529	129725
43	36454	129246
44	37425	128908
45	38514	128941
46	39407	128285
47	40231	127399
48	41196	126952
49	42211	126635
50	43444	126926
51	44448	126505
52	45365	125825
53	46369	125369
54	47419	125015
55	48546	124833
56	49622	124491
57	50727	124194
58	51561	123223
59	52034	121413
60	53047	120879
61	54012	120220
62	54851	119280
63	55936	118865
64	56655	117669
65	57633	117014
66	58814	116751
67	59785	116055
68	60749	115336
69	62063	115261
70	63034	114527
71	64050	113867
72	64907	112921
73	65330	111237
74	66445	110742
75	67552	110216
76	68645	109654
77	69566	108809
78	70647	108206
79	71435	107153
80	72158	106010
81	73231	105381
82	74394	104869
83	75446	104187
84	76342	103287
85	77292	102457
86	78290	101688
87	79162	100752
88	80138	99948
89	81163	99199
90	82053	98283
91	83094	97545
92	84141	96808
93	85116	95982
94	86195	95269
95	87055	94310
96	88162	93615
97	89164	92804
98	90183	92004
99	91136	91136
100	92179	90354
101	93419	89756
102	94431	88931
103	95377	88040
104	96336	87161
105	97361	86339
106	98480	85595
107	99526	84782
108	100689	84061
109	101633	83154
110	102366	82078
111	103627	81421
112	104860	80733
