iter	Passed	Remaining
0	79	79389
1	125	62681
2	165	55113
3	229	57200
4	278	55368
5	342	56754
6	396	56274
7	439	54467
8	486	53607
9	539	53423
10	601	54035
11	640	52724
12	704	53506
13	762	53727
14	822	54025
15	881	54183
16	951	55008
17	1032	56344
18	1092	56419
19	1164	57076
20	1238	57741
21	1287	57226
22	1366	58049
23	1419	57733
24	1461	57017
25	1538	57648
26	1596	57538
27	1676	58200
28	1742	58334
29	1824	58995
30	1894	59219
31	1943	58776
32	2015	59064
33	2064	58668
34	2137	58938
35	2199	58892
36	2276	59249
37	2350	59504
38	2426	59787
39	2493	59840
40	2575	60232
41	2653	60516
42	2731	60802
43	2804	60943
44	2880	61132
45	2948	61144
46	3025	61343
47	3091	61314
48	3149	61133
49	3215	61087
50	3291	61243
51	3362	61298
52	3425	61203
53	3496	61244
54	3567	61289
55	3639	61345
56	3714	61450
57	3791	61584
58	3859	61550
59	3918	61390
60	3985	61353
61	4055	61350
62	4138	61547
63	4195	61364
64	4268	61398
65	4333	61327
66	4397	61233
67	4463	61176
68	4520	60992
69	4583	60898
70	4660	60985
71	4735	61033
72	4808	61064
73	4872	60974
74	4942	60954
75	5023	61081
76	5103	61178
77	5165	61058
78	5231	60990
79	5288	60818
80	5355	60757
81	5431	60811
82	5486	60616
83	5558	60616
84	5622	60524
85	5697	60550
86	5758	60430
87	5827	60392
88	5896	60360
89	5975	60414
90	6040	60339
91	6108	60287
92	6181	60283
93	6254	60285
94	6342	60419
95	6413	60397
96	6455	60094
97	6513	59947
98	6580	59890
99	6646	59817
100	6719	59811
101	6775	59654
102	6842	59587
103	6909	59529
104	6976	59469
105	7067	59609
106	7141	59598
107	7211	59565
108	7274	59468
109	7352	59485
110	7428	59496
111	7514	59575
112	7538	59170
113	7613	59169
114	7682	59123
115	7743	59012
116	7833	59121
117	7907	59105
118	7977	59063
119	8063	59131
120	8142	59152
121	8225	59199
122	8296	59156
123	8371	59139
124	8457	59204
125	8523	59120
126	8592	59062
127	8653	58951
128	8719	58874
129	8795	58865
130	8873	58862
131	8937	58770
132	9010	58735
133	9081	58690
134	9158	58685
135	9218	58566
136	9299	58581
137	9371	58537
138	9437	58455
139	9510	58424
140	9572	58320
141	9651	58314
142	9728	58305
143	9801	58263
144	9866	58176
145	9936	58119
146	10001	58036
147	10080	58029
148	10140	57918
149	10225	57945
150	10300	57914
151	10386	57946
152	10453	57872
153	10528	57836
154	10597	57773
155	10660	57674
156	10741	57677
157	10809	57606
158	10879	57546
159	10971	57599
160	11046	57563
161	11112	57481
162	11181	57414
163	11250	57352
164	11339	57385
165	11405	57300
166	11475	57241
167	11547	57186
168	11637	57223
169	11708	57164
170	11783	57124
171	11867	57131
172	11940	57079
173	12003	56980
174	12065	56879
175	12139	56833
176	12214	56792
177	12297	56789
178	12380	56783
179	12441	56678
180	12506	56591
181	12586	56570
182	12659	56519
183	12741	56507
184	12805	56415
185	12868	56317
186	12933	56231
187	12995	56128
188	13067	56074
189	13145	56039
190	13211	55957
191	13282	55896
192	13354	55838
193	13421	55762
194	13485	55669
195	13561	55631
196	13636	55583
197	13710	55535
198	13785	55488
199	13849	55397
200	13923	55348
201	13994	55284
202	14075	55261
203	14148	55207
204	14211	55113
205	14294	55097
206	14369	55049
207	14434	54960
208	14518	54946
209	14607	54953
210	14686	54917
211	14767	54891
212	14846	54855
213	14917	54792
214	14993	54741
215	15067	54691
216	15141	54633
217	15216	54583
218	15283	54502
219	15359	54456
220	15440	54427
221	15516	54378
222	15578	54280
223	15654	54231
224	15727	54173
225	15789	54076
226	15878	54069
227	15954	54021
228	16018	53930
229	16093	53879
230	16175	53848
231	16257	53817
232	16334	53771
233	16410	53718
234	16485	53666
235	16567	53632
236	16657	53626
237	16732	53572
238	16804	53507
239	16881	53457
240	16956	53400
241	17032	53351
242	17108	53297
243	17180	53231
244	17261	53193
245	17338	53143
246	17419	53104
247	17503	53075
248	17576	53010
249	17644	52932
250	17725	52894
251	17794	52817
252	17861	52737
253	17936	52678
254	18021	52651
255	18089	52571
256	18169	52527
257	18238	52452
258	18310	52386
259	18389	52338
260	18456	52258
261	18529	52193
262	18618	52173
263	18685	52093
264	18757	52024
265	18829	51957
266	18902	51892
267	18979	51840
268	19047	51761
269	19135	51737
270	19202	51656
271	19275	51590
272	19349	51527
273	19424	51466
274	19490	51385
275	19573	51344
276	19647	51281
277	19718	51212
278	19794	51152
279	19860	51069
280	19925	50982
281	20002	50927
282	20073	50857
283	20139	50773
284	20220	50728
285	20300	50679
286	20362	50587
287	20434	50518
288	20515	50471
289	20587	50405
290	20658	50333
291	20730	50263
